request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000.00 today. This keeps the minimum balance protected."
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670.00 today. This keeps the minimum balance protected."
request_28,343.36,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the minimum balance protected.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524.00 today. This keeps the minimum balance protected."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06."
request_31,178236.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the minimum balance protected.
request_32,13939.35,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the minimum balance protected.
request_33,49564.48,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000.00 in full on 2026-03-15. Paying earlier would take the balance below the minimum."
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400.00 today. This keeps the minimum balance protected."
request_35,35343.06,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000.00 in full on 2026-01-15. Paying earlier would take the balance below the minimum."
request_36,598.01,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the minimum balance protected.
request_37,2432437.46,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-15. None of the available options keeps the minimum balance protected.
request_38,125.82,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-10-15. None of the available options keeps the minimum balance protected.
request_39,138180.64,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600.00 in full on 2026-06-15. Paying earlier would take the balance below the minimum."
request_40,484.7,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the minimum balance protected.
request_41,12391074.03,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000.00 in full on 2026-01-15. Paying earlier would take the balance below the minimum."
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100.00 today. This keeps the minimum balance protected."
request_43,9868266.98,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-11-15. None of the available options keeps the minimum balance protected.
request_44,26518.55,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-15. None of the available options keeps the minimum balance protected.
request_45,5084037.04,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the minimum balance protected.
request_46,49450.0,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25,714.00, starting 2024-12-03."
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000.00 today. This keeps the minimum balance protected."
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700.00 today. This keeps the minimum balance protected."
request_49,11238623.92,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-05-22. None of the available options keeps the minimum balance protected.
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900.00 today. This keeps the minimum balance protected."
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000.00 today. This keeps the minimum balance protected."
